gene,gene_features,celltype_features,niche_features,total_selected
DSC2,"ABCC11,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AKR1C1,APOBEC3B,AQP1,AR,BACE2,BASP1,C15orf48,C1QA,C1QC,C2orf42,C5orf46,CAVIN2,CCL20,CCL8,CCPG1,CD14,CD163","DCIS_2,Unlabeled,Invasive_Tumor,Stromal,Endothelial,Macrophages_2,Perivascular-Like,Myoepi_KRT15+","niche_1,niche_4,niche_5",35
KLRF1,,,,0
FSTL3,"AKR1C1,APOC1,AQP1,AVPR1A,BANK1,C15orf48,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCL20,CCR7,CD274,CD68,CDC42EP1,CEACAM6,CRHBP,CRISPLD2,CSF3,CTTN","DCIS_2,Invasive_Tumor,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,Macrophages_2,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_3",32
TENT5C,"ABCC11,ACTG2,AGR3,AHSP,BANK1,C5orf46,CAVIN2,CD14,CD163,CD1C,CD27,CD79A,CD93,CDH1,CEACAM6,CEACAM8,CLDN5,CRHBP,CSF3,CYP1A1,DPT",DCIS_1,,22
TYROBP,"ABCC11,ACTA2,ADAM9,ADGRE5,ANKRD28,APOBEC3A,APOC1,AR,AVPR1A,BACE2,BANK1,BTNL9,C15orf48,C1QA,C2orf42,CAVIN2,CCDC6,CCDC80,CCL20,CD14","DCIS_2,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid","niche_1,niche_2,niche_4,niche_5",29
LARS,"ADGRE5,AIF1,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,AQP3,C1QC,C2orf42,C5orf46,CAV1,CCL20,CCL8,CCPG1,CD1C,CD247,CD4,CD68,CD79B,CD80,CD83,CD86,CD9,CEACAM6,CLEC9A,CTH,CTLA4,CTSG,DST","CD8+_T_Cells,CD4+_T_Cells,B_Cells","niche_1,niche_4,niche_5",35
CLEC14A,"ACTA2,ACTG2,ADIPOQ,AGR3,AKR1C1,AKR1C3,ALDH1A3,APOBEC3A,APOC1,C6orf132,CAV1,CCPG1,CD69,CD83,CD86,CD93,CDH1,CEACAM8,CLCA2,CLDN4,CRHBP,CTH,CTLA4,CXCL5,DNAAF1,DNTTIP1,EDN1,EGFL7","DCIS_1,Myoepi_ACTA2+,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,B_Cells,Perivascular-Like","niche_1,niche_5",37
ANKRD30A,"ABCC11,ADIPOQ,AR,C2orf42,C6orf132,CCDC6,CCL20,CCL5,CCND1,CD19,CD69,CD8A,CD93,CEACAM6,CLEC9A,CLECL1,CRISPLD2,CTLA4,CTSG,CTTN,CXCL5,CYTIP,DNAAF1,DNTTIP1,EDN1,EGFL7,EIF4EBP1,EPCAM,ERBB2,ESM1","Unlabeled,Myoepi_ACTA2+,B_Cells",niche_5,34
TIGIT,,,,0
CENPF,"ADAM9,AHSP,AKR1C1,ANGPT2,APOC1,BASP1,C1QA,C5orf46,C6orf132,CCND1,CCPG1,CCR7,CD247,CD27,CD3E,CD83,CD8A,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CLDN4,CLDN5,CLEC9A,CRHBP,CTSG","Unlabeled,Invasive_Tumor,Endothelial,Perivascular-Like,LAMP3+_DCs","niche_2,niche_3",34
CCDC6,"ACTA2,ADAM9,ADGRE5,APOBEC3A,AQP1,AQP3,BASP1,C15orf48,C1QA,CCDC80,CCL5,CCL8,CD14,CD163,CD19,CD27,CD274,CD3D,CD3G,CD69,CDC42EP1,CDH1,CEACAM6,CEACAM8,CLCA2,CLIC6","DCIS_2,Unlabeled,Invasive_Tumor,DCIS_1,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,Mast_Cells","niche_4,niche_5",35
KRT5,"ADAM9,ADIPOQ,ANGPT2,ANKRD28,AVPR1A,BASP1,C15orf48,C1QC,C6orf132,CAV1,CCL5,CCR7,CD163,CD3E,CD3G,CD68,CD79B,CD80,CD9,CDC42EP1,CDH1,CEACAM8,CENPF,CLDN5,CLEC14A,CTLA4,CTSG,CXCL16,CYTIP,DPT,EDN1,EDNRB,ENAH","Unlabeled,Endothelial,Prolif_Invasive_Tumor,B_Cells,Perivascular-Like,LAMP3+_DCs",niche_3,40
SCD,"ADAM9,ADIPOQ,AIF1,ALDH1A3,ANKRD29,APOBEC3A,AQP1,AQP3,BANK1,BASP1,C15orf48,CAVIN2,CCND1,CCPG1,CD1C,CD27,CD69,CD79B,CD83,CD86","Mast_Cells,CD4+_T_Cells,B_Cells,LAMP3+_DCs","niche_2,niche_3,niche_5",27
HDC,"ABCC11,ACTA2,BANK1,CCDC80,CCL5,CCR7,CD69,CDC42EP1,CLCA2,CLECL1,CXCL5,DMKN,DNAAF1,DNTTIP1,DSC2,DUSP5,EDN1,EGFL7,ESM1,FBLIM1,FCER1A","Macrophages_1,CD4+_T_Cells,LAMP3+_DCs,Myoepi_KRT15+",,25
CXCR4,"ADGRE5,ADH1B,AGR3,AHSP,ANKRD29,AR,BANK1,C5orf46,CCDC6,CCDC80,CCL20,CCL8,CCND1,CCR7,CD19,CD1C,CD274,CD3E,CD4,CD68,CD86,CD9,CD93,CEACAM8,CENPF,CLEC14A,CLECL1,DST","DCIS_1,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,Macrophages_2,Perivascular-Like,LAMP3+_DCs,Myoepi_KRT15+",niche_5,38
FOXC2,,,,0
MAP3K8,"AQP3,C1QA,CCDC80,CCL5,CCPG1,CD247,CD3D,CD69,CD79A,CD80,CD8A,CD8B,CDC42EP1,CLDN4,CLEC14A,CTLA4,CXCL12,CXCL16,DAPK3,DNTTIP1,DUSP2,EDNRB,ERBB2,ESM1,FBLIM1,FOXA1,GNLY,GZMK,HDC,KLRC1,KRT5","Unlabeled,T_Cell_&_Tumor_Hybrid,Mast_Cells,Macrophages_2,Perivascular-Like",niche_4,37
ERN1,"AIF1,AQP3,AR,BANK1,C2orf42,C6orf132,CD3D,CD79B,CDC42EP1,CEACAM8,CLCA2,CTLA4,CXCL5,DPT,ENAH,FAM49A,FCGR3A,FOXC2,FOXP3,HAVCR2,HMGA1,KARS,KIT,KRT16,KRT5,LARS,LPL,LUM,LYPD3,MYLK,PTGDS",Stromal_&_T_Cell_Hybrid,,32
HOXD8,"ACTG2,AIF1,AKR1C1,AKR1C3,ALDH1A3,BASP1,C1QC,C5orf46,CAV1,CCND1,CCPG1,CD163,CD19,CD79A,CD8A,CLEC9A,CLIC6,CRISPLD2,CXCL5,CYP1A1,DNAAF1,EGFR,EIF4EBP1,EPCAM,ESM1,FBLIM1,GJB2","T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,Perivascular-Like,Myoepi_KRT15+",niche_4,33
TRIB1,"ADAM9,AGR3,AHSP,ANGPT2,C1QA,C5orf46,CCDC6,CCL20,CCPG1,CD14,CD1C,CD27,CD69,CD79A,CD80,CD86,CDC42EP1,CLECL1,CPA3,CTH,CTSG,CYTIP,DAPK3,DMKN,DNAAF1,DSC2,EDNRB,EGFR,ELF5,ENAH,FBLN1,FCGR3A,FOXC2,DST","Unlabeled,Endothelial,T_Cell_&_Tumor_Hybrid,Perivascular-Like","niche_2,niche_3,niche_4",41
GATA3,"ACTA2,ADIPOQ,ANKRD28,BACE2,BANK1,BASP1,CAV1,CAVIN2,CCND1,CCR7,CD19,CD27,CD274,CD3G,CD83,CD86,CD8A,CEACAM6,CXCL5,DMKN,DPT,DSP,DUSP5,EGFR,EIF4EBP1,EPCAM,ERBB2,ESR1,FAM107B,FBLIM1,FBLN1,FCER1A,FOXA1,GLIPR1,GZMA,GZMB,HMGA1,HOXD9,IGSF6,IL2RA,DST","Unlabeled,Myoepi_ACTA2+,Endothelial,B_Cells,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_2,niche_4",50
PTRHD1,"ACTG2,ANKRD30A,BASP1,CCND1,CD14,CD19,CD8B,CEACAM8,CLDN4,CRHBP,CX3CR1,CYP1A1,DUSP2,EPCAM,ERBB2,FAM49A,FASN,FOXP3,FSTL3,GNLY,GZMB,HDC,IGSF6,IL3RA,KIT,KLRC1,KRT5,KRT8,LIF,LPXN,LRRC15,DST","Invasive_Tumor,Myoepi_ACTA2+,B_Cells,IRF7+_DCs,Myoepi_KRT15+",niche_3,38
BANK1,"ADH1B,ADIPOQ,AGR3,ALDH1A3,ANKRD29,ANKRD30A,APOC1,AVPR1A,C15orf48,C1QC,C2orf42,CAV1,CCDC6,CCDC80,CCL5,CD19,CD1C,CD27,CD274,CD3D,CD4,CD68,CD8A,CD9,CD93","DCIS_2,Unlabeled,DCIS_1,Myoepi_ACTA2+,Endothelial,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_3,niche_4",35
DAPK3,,,,0
CLIC6,,,,0
TCIM,"ADAM9,ANGPT2,ANKRD29,ANKRD30A,APOBEC3B,AVPR1A,BASP1,C2orf42,C5orf46,C6orf132,CCDC6,CCL20,CCR7,CD19,CD27,CD274,CD3D,CD3E,CD80,CD83,CD8B,CEACAM6,CENPF,CLDN4,CLDN5,CLECL1,CRHBP","Unlabeled,Invasive_Tumor,Macrophages_1,Stromal,Myoepi_ACTA2+,Prolif_Invasive_Tumor,Mast_Cells",,34
DSP,"ACTA2,ACTG2,ADGRE5,ADH1B,AKR1C1,ANKRD28,ANKRD29,APOBEC3B,AR,AVPR1A,BACE2,BANK1,C1QA,C1QC,CAVIN2,CCDC6,CCDC80,CCL5,CD19,CD247,CD3G,CD69,CD79A,CD86,CEACAM6","Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,Mast_Cells,Stromal_&_T_Cell_Hybrid,IRF7+_DCs,Myoepi_KRT15+","niche_2,niche_5",33
MDM2,"ACTG2,AHSP,ANGPT2,ANKRD28,APOC1,CAVIN2,CCR7,CD1C,CD68,CD79B,CD8B,CDH1,CEACAM8,CLEC14A,CLEC9A,CTH,CTSG,CXCR4,DAPK3,DMKN","DCIS_1,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid",niche_4,24
CD8B,"ACTA2,ADGRE5,AGR3,AKR1C3,ANGPT2,ANKRD29,ANKRD30A,APOBEC3B,AR,BACE2,C15orf48,C2orf42,C5orf46,CAVIN2,CCL20,CCPG1,CCR7,CD247,CD3E,CD69,CD79A,CD80,CD83,CENPF,CLEC14A,CLEC9A,CPA3,CTSG,CTTN,CX3CR1,DAPK3,DMKN,DUSP2,DUSP5,EDN1","DCIS_2,Invasive_Tumor,Macrophages_1,Stromal,Myoepi_ACTA2+","niche_2,niche_3,niche_5",43
C2orf42,,,,0
CD14,"ACTA2,ADGRE5,ADIPOQ,AKR1C3,ANKRD28,APOBEC3A,AQP1,AQP3,BACE2,BASP1,BTNL9,C1QA,C1QC,C5orf46,C6orf132,CAVIN2,CCL20,CCL8,CD163,CD1C,CD27,CD3D,CD3E,CD4,CD68,CD69,CD80","DCIS_2,Unlabeled,Macrophages_1,Myoepi_ACTA2+,CD8+_T_Cells,Mast_Cells,CD4+_T_Cells,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_2,niche_4",39
LUM,"ABCC11,ADH1B,ALDH1A3,APOBEC3A,BASP1,BTNL9,CCDC80,CCL20,CCL5,CCL8,CD274,CD3G,CD79B,CEACAM8,CLIC6,CRHBP,CXCL12,CXCL16,DMKN,DUSP2,EGFL7,EGFR,ELF5,DST","DCIS_1,Prolif_Invasive_Tumor,B_Cells,Perivascular-Like,IRF7+_DCs","niche_2,niche_4",31
TCF15,,,,0
RHOH,"ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP1,AQP3,DST","DCIS_2,Unlabeled,Invasive_Tumor,Macrophages_1,Stromal,DCIS_1,Myoepi_ACTA2+,CD8+_T_Cells,Endothelial,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,B_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_2,niche_3,niche_4,niche_5",48
MYO5B,"ACTA2,ADAM9,ADGRE5,AGR3,AHSP,AKR1C1,ALDH1A3,ANGPT2,APOBEC3A,APOBEC3B,APOC1,AQP1,BACE2,BANK1,BASP1,BTNL9,C2orf42,C5orf46,C6orf132,CAV1,CCDC6,CCDC80,CCL20,CCL8,CCND1,CD163,CD1C,CD247,CD27,CD274,CD3D,CD4,CD69,CD80,CD8A,CD9,CD93,DST","Stromal,DCIS_1,Myoepi_ACTA2+,CD8+_T_Cells,Endothelial,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,B_Cells,Perivascular-Like","niche_1,niche_2",50
EDN1,,,,0
DNTTIP1,"ABCC11,ACTA2,ACTG2,ADGRE5,ADIPOQ,AGR3,AHSP,AKR1C1,AKR1C3,ALDH1A3,ANKRD28,ANKRD29,ANKRD30A,APOC1,AR,AVPR1A,BACE2,BANK1,BASP1,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,DST","DCIS_2,CD8+_T_Cells,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs","niche_2,niche_4",42
IL2RA,"ABCC11,ADIPOQ,AGR3,AHSP,AKR1C1,ALDH1A3,ANKRD29,APOC1,AQP1,AQP3,AR,BANK1,BASP1,BTNL9,C1QC,C2orf42,C5orf46,CCDC6,CCL20,CCR7,CD19,CD27,CD3D,CD4,CD68,CD80,CLCA2,CLECL1,CLIC6,DNAAF1,DSC2,DUSP5,EGFL7,EGFR,DST","Unlabeled,Macrophages_1,DCIS_1,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_2,niche_3,niche_4",49
FAM49A,"ABCC11,ACTG2,AKR1C1,ALDH1A3,AQP3,BTNL9,C15orf48,C1QC,CAV1,CD14,CD163,CD247,CD27,CD274,CD80,CD83,CD8A,CDH1,CENPF,CLCA2,CLEC14A,CRHBP,CRISPLD2,CSF3,CX3CR1,CXCL12,CXCR4,CYP1A1,DST","DCIS_2,Stromal,CD8+_T_Cells,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Perivascular-Like,Myoepi_KRT15+","niche_1,niche_2",38
SPIB,,,,0
TCF7,"ACTG2,ANKRD30A,BANK1,C15orf48,C2orf42,C5orf46,CCL20,CD14,CD247,CD27,CD4,CD68,CD80,CD83,CENPF,CPA3,CRHBP,CTSG,CYTIP,DNAAF1,DSP,EDNRB,EGFR,ERN1,FAM49A,FCER1A,FOXC2,GATA3,DST","DCIS_2,Unlabeled,Endothelial,Perivascular-Like",niche_3,34
LYZ,"AGR3,ALDH1A3,APOC1,BACE2,C2orf42,CCDC6,CCL8,CCND1,CD14,CD3D,CD9,CDC42EP1,CDH1,CEACAM8,CENPF,CPA3,CRISPLD2,CSF3,CTLA4,CTSG,DAPK3,DERL3,DUSP5,EGFL7,EGFR","Macrophages_1,Stromal,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+",niche_3,35
MYLK,"ACTA2,ACTG2,ADGRE5,AHSP,ANKRD30A,AQP1,BASP1,CCDC80,CCND1,CCPG1,CD9,CEACAM6,CTH,CTTN,CXCL12,DSP,EGFR,EIF4EBP1,ENAH,EPCAM,ERBB2,FAM107B,DST",Stromal,,24
CD1C,,,,0
TAC1,,,,0
SERPINB9,"ABCC11,AHSP,AIF1,AKR1C3,ALDH1A3,APOBEC3B,BASP1,BTNL9,C6orf132,CCDC80,CD163,CD274,CD3E,CD4,CD68,CD79B,CD80,CD8B,CD93,CDH1,DST","Unlabeled,Invasive_Tumor,Macrophages_1,Stromal,CD8+_T_Cells,Prolif_Invasive_Tumor,Mast_Cells,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid",,30
POLR2J3,"AKR1C3,ANKRD30A,APOBEC3B,APOC1,C1QA,C1QC,CCND1,CD19,CD79A,CD86,CD8A,CEACAM6,CRISPLD2,CTTN,CXCL12,CYTIP,DAPK3,DSC2,DSP,DUSP5,ENAH,ERBB2,ERN1,ESR1,FLNB,FOXA1,FSTL3,DST","Invasive_Tumor,Myoepi_ACTA2+,CD8+_T_Cells,B_Cells,Myoepi_KRT15+",,33
CAVIN2,,,,0
HMGA1,"ACTA2,AQP1,CAV1,CCL8,CD79B,CENPF,CPA3,CTSG,DSP,ELF5,FAM107B,GNLY,GZMK,ITGAX,KRT16,KRT6B,KRT7,LEP,LILRA4,MLPH,NDUFA4L2,PIM1,SEC11C,TIGIT,TRAPPC3,TRIB1,ZEB2","Unlabeled,Myoepi_ACTA2+,Macrophages_2,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs",,33
EGFL7,,,,0
LY86,,,,0
TIFA,"ADAM9,ADIPOQ,AIF1,AKR1C1,ALDH1A3,ANGPT2,AQP1,BACE2,BANK1,BTNL9,C1QC,C2orf42,CCDC6,CCND1,CCR7,CD19,CD274,CD3D,CD4,CD8B,CLCA2,CLDN5,CLEC14A,CLEC9A,CSF3,CTTN,CX3CR1,CXCL12,CXCL16,CXCL5,DAPK3,DNAAF1,DUSP2,EGFR,ESM1,FAM49A,FASN,FCER1G,FCGR3A","Unlabeled,Endothelial,Mast_Cells,B_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,Myoepi_KRT15+","niche_1,niche_2",49
CD83,"ACTA2,ADGRE5,ADIPOQ,AIF1,AKR1C1,ANGPT2,APOBEC3A,APOBEC3B,AQP3,BANK1,C15orf48,C6orf132,CAVIN2,CCDC80,CCL5,CCL8,CCPG1,CCR7,CD14,CD163,CD274,CD3G,CD69,CD79B,CD80,CD93,CENPF,CLDN4,CLEC9A,CLECL1,CRHBP,CRISPLD2,CSF3,CTSG","DCIS_2,Macrophages_1,Myoepi_ACTA2+,Endothelial,Mast_Cells,CD4+_T_Cells,Perivascular-Like",niche_2,42
LILRA4,,,,0
DNAAF1,,,,0
ADIPOQ,,,,0
QARS,"ABCC11,ACTA2,ADAM9,ADGRE5,ADIPOQ,AIF1,AKR1C3,ANKRD30A,APOBEC3B,AR,BACE2,BASP1,C2orf42,CCDC6,CCDC80,CCL20,CCL5,CCL8,CCND1,CCPG1,CD1C,CD3E,CD3G,CD4,CD69,CD79A,CD8A,CEACAM6,DST","Macrophages_1,DCIS_1,IRF7+_DCs",niche_1,33
IL2RG,"ABCC11,ACTG2,ADH1B,AGR3,AIF1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,APOBEC3A,APOC1,AQP3,BACE2,BANK1,BASP1,C1QC,C5orf46,CCND1,CCPG1,CD274,CD3E,CD4,CD80,CD8A","DCIS_2,Invasive_Tumor,Macrophages_1,Endothelial,T_Cell_&_Tumor_Hybrid,Mast_Cells,B_Cells,Macrophages_2,IRF7+_DCs,Myoepi_KRT15+","niche_2,niche_3",36
