gene,gene_features,celltype_features,niche_features,total_selected
SFRP1,"ADAM9,BASP1,C1QA,CDC42EP1,CDH1,CSF3,CXCL16,CYTIP,DAPK3,DMKN,EIF4EBP1,FBLIM1,FLNB,GZMA,HPX,KLRD1,LPL,MEDAG,MMP2,MUC6,MYBPC1,PECAM1,PRF1,PTN,QARS,SMS","Invasive_Tumor,Endothelial,CD4+_T_Cells,Macrophages_2",,30
CD247,"ADIPOQ,AKR1C1,ALDH1A3,APOBEC3B,AQP1,AQP3,C6orf132,CD3D,CD79B,CD8B,CEACAM6,CLDN5,CLECL1,CTH,CX3CR1,CXCL12,CXCL16,DMKN,DUSP2,EIF4EBP1,ERBB2,ERN1,FOXA1,FOXP3,DST","Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,Perivascular-Like","niche_2,niche_3",30
AQP1,"ABCC11,ACTA2,ACTG2,ADAM9,ADIPOQ,ALDH1A3,ANKRD29,AR,BTNL9,C15orf48,C1QC,C5orf46,CAV1,CAVIN2,CCDC6,CCDC80,CCL20,CCND1,CD14,CD27,DST","CD8+_T_Cells,Endothelial,Mast_Cells,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,Myoepi_KRT15+",niche_3,30
FGL2,"ADGRE5,AGR3,ANKRD28,APOC1,AVPR1A,BTNL9,C1QA,CCPG1,CD19,CD86,DSP,EDN1,ELF5,ESR1,FSTL3,ITGAM,ITGAX,KRT5,LUM,LYPD3,MLPH,MYO5B,PDCD1,PECAM1,PELI1,PIGR,SERHL2","Macrophages_1,Myoepi_ACTA2+","niche_2,niche_5",31
CCR7,"ABCC11,ADGRE5,ADH1B,AKR1C3,ANKRD28,ANKRD29,C15orf48,C1QA,CAV1,CCDC6,CCDC80,CCL5,CCND1,CD83,CD86,CDH1,CLCA2,CLIC6,CRHBP,CXCL16,CYP1A1,DNTTIP1,DPT","Stromal,Mast_Cells",,25
USP53,"ACTA2,AHSP,AIF1,APOC1,AQP1,AR,BACE2,BANK1,C1QC,C2orf42,CAV1,CCL20,CD19,CD274,CD3G,CD4,CD69,CD79B,CD8A,CDC42EP1,CDH1,CEACAM8,CLDN4,CLEC9A,CTLA4,CTSG,CTTN,CX3CR1,CXCL5,CXCR4,DAPK3,DERL3,DUSP2,DUSP5,EDN1,EGFL7,EIF4EBP1,ELF3,ENAH","Macrophages_1,DCIS_1,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,CD4+_T_Cells,Macrophages_2,IRF7+_DCs","niche_1,niche_2,niche_3",50
FAM107B,"ABCC11,ADIPOQ,AGR3,AHSP,AKR1C3,APOBEC3B,APOC1,BANK1,BTNL9,C2orf42,C5orf46,CAVIN2,CCDC6,CCND1,CCR7,CD14,CD163,CD1C,CD3D,CD4,CD83,CD8A,CLIC6,CRHBP,CSF3,CTSG,CTTN,CYP1A1,CYTIP,DNAAF1,DNTTIP1,DSC2","DCIS_2,Invasive_Tumor,Myoepi_ACTA2+,B_Cells,Myoepi_KRT15+","niche_1,niche_2,niche_3,niche_5",41
PDCD1,,,,0
ANKRD29,"ACTG2,AGR3,AIF1,AKR1C3,ALDH1A3,ANGPT2,ANKRD30A,AQP1,AR,AVPR1A,BTNL9,C1QA,C2orf42,C6orf132,CCDC6,CCL5,CCND1,CCPG1,CCR7,CD163,CD19,CD1C,CD247,CD27,CD3D,CD3E,CD3G,CD4,CD80,CD86,CD8A,CD8B,CD9,CDC42EP1,CDH1,CEACAM6,CEACAM8,CLDN4,CLECL1,CRISPLD2","DCIS_2,Stromal,Endothelial,T_Cell_&_Tumor_Hybrid,Macrophages_2","niche_4,niche_5",47
HOOK2,"ABCC11,ACTG2,ADAM9,AGR3,AHSP,AKR1C1,ANKRD28,ANKRD29,APOBEC3B,AQP3,BASP1,BTNL9,C6orf132,CAV1,CAVIN2,CCR7,CD14,CD3D,CD3G,CD68,CD69,CD79A,CD80,CEACAM6,CLEC14A,CLIC6,CRHBP,CRISPLD2,CTLA4,DST","Unlabeled,Macrophages_1,Myoepi_ACTA2+,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid",,36
RAMP2,"ACTG2,AIF1,AKR1C3,ANGPT2,ANKRD28,AR,AVPR1A,BANK1,BASP1,BTNL9,C1QC,C2orf42,CAV1,CCL20,CCL5,CCND1,CCPG1,CD14,CD1C,CD274,CD4,DST","Unlabeled,Myoepi_ACTA2+,LAMP3+_DCs",,25
PDGFRA,"ADIPOQ,AGR3,ANGPT2,APOBEC3A,APOC1,C6orf132,CD3G,CTSG,DAPK3,EDN1,EGFL7,FASN,FCER1A,FCGR3A,FLNB,FOXA1,GZMB,GZMK,IL2RA,KLRB1,KRT8,LY86,MMP2,MPO,PECAM1,POLR2J3,RTKN2,S100A14,SERHL2","B_Cells,Myoepi_KRT15+","niche_1,niche_3",33
KRT16,,,,0
CYTIP,"ABCC11,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AKR1C1,ANGPT2,ANKRD28,ANKRD30A,AVPR1A,BANK1,BTNL9,C15orf48,C1QC,C2orf42,C6orf132,CAV1,CCDC6,CCDC80,CCND1,CCPG1","Unlabeled,Invasive_Tumor,Macrophages_1,Stromal,DCIS_1,Endothelial,Prolif_Invasive_Tumor,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_3,niche_5",37
S100A14,"ACTA2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AHSP,ANKRD28,ANKRD30A,APOBEC3A,APOC1,BACE2,BANK1,BTNL9,CCL8,CCND1,CCR7,CD1C,CD27,CD274,CD3D,CD3E,CD69","Unlabeled,Stromal,CD8+_T_Cells,Mast_Cells,B_Cells,Macrophages_2,Perivascular-Like,LAMP3+_DCs,Myoepi_KRT15+","niche_1,niche_2,niche_5",34
IL3RA,"ACTA2,ACTG2,ADGRE5,ADH1B,AKR1C3,ALDH1A3,ANGPT2,APOC1,AVPR1A,BASP1,C1QA,CCL20,CCND1,CD163,CD1C,CD247,CD3D,CD3E,CD3G,CD4","Unlabeled,Invasive_Tumor,Macrophages_1,DCIS_1,Myoepi_ACTA2+,CD8+_T_Cells,Prolif_Invasive_Tumor,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,Perivascular-Like",niche_3,32
KLRD1,"ADAM9,ADH1B,ALDH1A3,ANKRD29,APOBEC3A,AVPR1A,BACE2,BASP1,BTNL9,C2orf42,CAV1,CCPG1,CD19,CD247,CD27,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD79B,CD80,CD86,CD8A,CD8B,CD9,CEACAM8","Unlabeled,DCIS_1,Myoepi_ACTA2+,CD4+_T_Cells,Macrophages_2,Myoepi_KRT15+","niche_1,niche_2,niche_3,niche_4",38
BTNL9,"ADAM9,ADIPOQ,AHSP,AIF1,AKR1C1,AKR1C3,ANGPT2,ANKRD28,APOBEC3B,AQP3,AVPR1A,C15orf48,C1QA,C5orf46,CAVIN2,CCDC6,CCDC80,CCL20,CCPG1,CD3G,CD79A,CD93,CLEC14A,CLIC6,DST","Myoepi_ACTA2+,Prolif_Invasive_Tumor,Mast_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+",niche_1,34
CXCL12,"ACTA2,ADH1B,AKR1C3,ALDH1A3,ANKRD28,ANKRD30A,AQP1,BACE2,BANK1,BASP1,C6orf132,CAVIN2,CCDC80,CCND1,CCPG1,CD3G,CD79A,CDC42EP1,CEACAM8,CLEC9A,CLECL1,CPA3,CTTN","Macrophages_1,CD8+_T_Cells,Endothelial,CD4+_T_Cells,LAMP3+_DCs",niche_1,29
GJB2,,,,0
BASP1,"ADAM9,ADGRE5,ADH1B,AKR1C1,ALDH1A3,ANKRD29,APOBEC3A,APOBEC3B,BACE2,BTNL9,C1QC,C2orf42,CCDC80,CCL8,CCND1,CCPG1,CCR7,CD14,CD19,CD247,CD3E,CD68,CD69,CD79B,DST","DCIS_2,Unlabeled,Macrophages_1,Endothelial,Mast_Cells,B_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,Perivascular-Like,IRF7+_DCs","niche_3,niche_4",37
IL7R,"AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD29,APOBEC3A,APOC1,AQP1,BACE2,CAV1,CCL20,CCND1,CCR7,CD19,CD1C,CD247,CD27,CD3D,CD3E,CD3G,CD68,CD8B,CEACAM6,DST","Invasive_Tumor,DCIS_1,CD8+_T_Cells,Prolif_Invasive_Tumor,Mast_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid","niche_2,niche_3",36
AKR1C3,,,,0
PCOLCE,"ADGRE5,ADH1B,ADIPOQ,AGR3,AKR1C1,AKR1C3,ANKRD28,ANKRD30A,APOBEC3A,APOBEC3B,BANK1,BASP1,BTNL9,C15orf48,C1QC,C5orf46,CCDC6,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD1C,CD247,CD3D,CD79A,CD80,CD83,CD8A","DCIS_2,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,CD4+_T_Cells,B_Cells,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_3,niche_4",44
S100A4,"ABCC11,ACTA2,ADGRE5,ADH1B,AGR3,AKR1C1,AKR1C3,ANKRD28,AQP1,BANK1,BTNL9,C5orf46,CCDC80,CD14,CD163,CD3E,CD80,CD86,CD8A,CD8B,CD93,CEACAM6,CEACAM8,CLCA2,CLDN5,CLECL1,CRISPLD2,CSF3,CTH,CTSG,DST","DCIS_2,Invasive_Tumor,Stromal,Myoepi_ACTA2+,Endothelial,Macrophages_2",niche_5,38
SMAP2,"ADGRE5,ADH1B,AHSP,AIF1,AKR1C3,ANKRD28,APOBEC3A,APOBEC3B,AQP1,AR,BACE2,C1QC,C2orf42,C5orf46,CAVIN2,CCDC6,CCDC80,CCL20,CCL8,CCR7,CD19,CD3D,CD4,CD69,CD79A,CD79B,CD80,DST","Macrophages_1,Stromal,DCIS_1,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_4,niche_5",40
FBLN1,"ACTA2,AR,AVPR1A,BANK1,C5orf46,CCL20,CCPG1,CD247,CD27,CDC42EP1,CRISPLD2,CTTN,CX3CR1,CXCR4,DNTTIP1,DUSP2,ELF3,FGL2,GLIPR1,IGF1,ITGAM,KIT,KLRB1,KRT5,LARS,MKI67,MMP1,MMRN2,MPO,QARS,RHOH,S100A14,SCD",Myoepi_KRT15+,"niche_3,niche_4,niche_5",37
POSTN,"ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,AIF1,ANKRD30A,APOC1,AQP1,BACE2,BASP1,BTNL9,C1QA,C1QC,CAV1,CCDC6,CCDC80,CCL5,CCND1,CCPG1,CD14,CD163,CD3E,CD4,CD68,CD8A,CD8B,DST",Stromal,niche_4,30
PRDM1,"AIF1,ANKRD29,CCDC80,CD80,CEACAM6,CTSG,CTTN,CX3CR1,CXCL12,CXCL5,CYTIP,DMKN,ERBB2,ERN1,ESM1,IL3RA,LUM,MMP2,MS4A1,MYLK,NCAM1,OPRPN,POSTN,REXO4,SCD,SFRP4,SLAMF1,TACSTD2,TENT5C,TIMP4,TOP2A,TPD52,USP53,VWF,ZNF562","DCIS_2,T_Cell_&_Tumor_Hybrid",,37
