ligand_gene,receptor_gene,ligand_cell_type,receptor_cell_type,correlation
DDX5,FXYD3,Ductal,permCAF,0.805107376
EGLN3,ERRFI1,permCAF,Ductal,0.698565347
EGLN3,F3,Ductal,permCAF,0.71197486
EGLN3,F3,permCAF,Ductal,0.721383839
EGLN3,IGFBP3,permCAF,Ductal,0.706758231
EGLN3,KRT19,permCAF,Ductal,0.694700304
EGLN3,LGALS1,permCAF,Ductal,0.721350223
EGLN3,MMP2,permCAF,Ductal,0.723211218
EGLN3,MYL6,permCAF,Ductal,0.709143648
EGLN3,NBL1,permCAF,Ductal,0.73721082
EGLN3,PKM,permCAF,Ductal,0.749296835
EGLN3,S100A10,permCAF,Ductal,0.736930792
EGLN3,SH3BGRL3,permCAF,Ductal,0.724191644
EGLN3,SPP1,permCAF,Ductal,0.733477978
EGLN3,TIMP1,permCAF,Ductal,0.711823721
EGLN3,TPM1,permCAF,Ductal,0.724092828
EMP1,SERPINE1,restCAF,Endothelial,0.746662177
EMP1,SFRP4,restCAF,Ductal,0.444370656
EMP1,THBS1,restCAF,Endothelial,0.424290603
EMP1,THBS1,restCAF,permCAF,0.426721151
EMP1,TIMP1,restCAF,Ductal,0.42779227
ERRFI1,F3,Ductal,permCAF,0.70154353
ERRFI1,TAGLN,permCAF,Ductal,0.691598257
ELOC,TXNDC17,restCAF,Ductal,0.82779227
FAM167B,BUD23,permCAF,Macrophage,0.854389629
F3,GSTP1,B,T,0.809098359
F3,GSTP1,Endothelial,restCAF,0.776033843
F3,HSPB1,permCAF,Ductal,0.696801081
F3,IGFBP7,permCAF,Ductal,0.708888777
F3,KRT19,permCAF,Ductal,0.745619206
F3,LGALS1,permCAF,Ductal,0.718781459
F3,LGALS3BP,permCAF,Ductal,0.70674224
F3,MYL6,permCAF,Ductal,0.733577213
F3,NBL1,permCAF,Ductal,0.728187718
F3,PKM,permCAF,Ductal,0.745436213
F3,S100A10,permCAF,Ductal,0.74153348
F3,SH3BGRL3,permCAF,Ductal,0.741162835
F3,TAGLN,permCAF,Ductal,0.72334328
F3,TIMP1,permCAF,Ductal,0.708101821
F3,TPM1,permCAF,Ductal,0.756654858
FABP4,GSTP1,B,T,0.774817298
FN1,ITGA5,Ductal,permCAF,0.602011518
FN1,ITGA5,Endothelial,Ductal,0.463887516
FN1,ITGA5,Endothelial,permCAF,0.449611022
FN1,ITGA5,Macrophage,Ductal,0.567432376
FN1,ITGA5,Macrophage,permCAF,0.683140015
FN1,ITGA5,Monocyte,Ductal,0.754389629
FN1,ITGA5,Monocyte,permCAF,0.565352258
FN1,ITGA5,Pericyte,Ductal,0.564525443
FN1,ITGA5,Pericyte,permCAF,0.451834264
FN1,ITGA5,permCAF,Ductal,0.553233559
FN1,ITGA5,restCAF,Ductal,0.503829286
FN1,ITGA5,restCAF,permCAF,0.57720454
FN1,ITGA5,T,Ductal,0.430463028
FN1,ITGA5,T,permCAF,0.666575204
FTL,GSTP1,B,T,0.803619642
FXYD3,HSPB1,permCAF,Ductal,0.770840109
GSTP1,HSPB1,restCAF,Endothelial,0.774685886
GSTP1,HSPB1,T,B,0.800580145
GPR183,CD300E,restCAF,Ductal,0.844946531
HMGB2,TIMM8B,T,permCAF,0.91665752
IFNG,APOBEC3G,permCAF,Ductal,0.870840109
IGFBP4,MCL1,Pericyte,Endothelial,0.450835871
IGFBP4,MT-CYB,Pericyte,Endothelial,0.461753869
IGFBP4,MT-ND4L,Pericyte,Endothelial,0.453425967
IGFBP4,MT-ND4,Pericyte,Endothelial,0.423347145
IGFBP4,TIMP1,Pericyte,Endothelial,0.468214894
