method,gene
nnSVG,RPL13
nnSVG,TCF25
nnSVG,YWHAE
nnSVG,MYO1C
nnSVG,PRPF8
nnSVG,SERPINF1
nnSVG,CLUH
nnSVG,PSMB6
nnSVG,SLC25A11
nnSVG,RNF167
nnSVG,PFN1
nnSVG,RNASEK
nnSVG,C17orf49
nnSVG,ACADVL
nnSVG,GABARAP
nnSVG,EIF5A
nnSVG,TMEM256
nnSVG,EIF4A1
nnSVG,NAA38
nnSVG,ALOX15B
nnSVG,PER1
nnSVG,RPL26
nnSVG,UBB
nnSVG,SNHG29
nnSVG,SREBF1
nnSVG,MFAP4
nnSVG,ALDH3A2
nnSVG,RPL23A
nnSVG,CCL14
nnSVG,PSMB3
nnSVG,RPL23
nnSVG,RPL19
nnSVG,IGFBP4
nnSVG,KRT25
nnSVG,KRT10
nnSVG,KRT15
nnSVG,KRT14
nnSVG,KRT16
nnSVG,KRT17
nnSVG,EIF1
nnSVG,JUP
nnSVG,RAB5C
nnSVG,CAVIN1
nnSVG,RPL27
nnSVG,VAT1
nnSVG,GRN
nnSVG,ATP5MC1
nnSVG,PHB
nnSVG,COL1A1
nnSVG,NME2
nnSVG,MRC2
nnSVG,PSMC5
nnSVG,SMARCD2
nnSVG,SNHG25
nnSVG,DDX5
nnSVG,RPL38
nnSVG,ATP5PD
nnSVG,SUMO2
nnSVG,ITGB4
nnSVG,H3F3B
nnSVG,SRSF2
